17:16:39.699	0:0:0:0:0:0:0:1:51810	admin	REQUEST	[GET] http://localhost:8080/restxq/dba/login
17:16:40.769	0:0:0:0:0:0:0:1:51810	admin	200		1125.61 ms
17:20:46.919	127.0.0.1:51820	admin	REQUEST	OPEN app-cm	20.21 ms
17:20:46.925	127.0.0.1:51820	admin	OK	Database 'app-cm' was opened in 5.4 ms.	6.1 ms
17:20:46.931	127.0.0.1:51820	admin	REQUEST	XQUERY /cmd/app/@id	0.62 ms
17:20:46.935	127.0.0.1:51820	admin	OK	Query executed in 3.76 ms.	4.15 ms
17:21:09.593	127.0.0.1:51821	admin	REQUEST	OPEN app-cm	0.37 ms
17:21:09.593	127.0.0.1:51821	admin	OK	Database 'app-cm' was opened in 0.08 ms.	0.35 ms
17:21:09.596	127.0.0.1:51821	admin	REQUEST	XQUERY /cmd/app/@id	1.73 ms
17:21:09.599	127.0.0.1:51821	admin	OK	Query executed in 2.71 ms.	3.02 ms
17:22:16.726	127.0.0.1:51825	admin	REQUEST	OPEN app-cm	0.48 ms
17:22:16.727	127.0.0.1:51825	admin	OK	Database 'app-cm' was opened in 0.06 ms.	0.32 ms
17:22:16.728	127.0.0.1:51825	admin	REQUEST	XQUERY /cmd/app/@id	0.24 ms
17:22:16.728	127.0.0.1:51825	admin	OK	Query executed in 0.61 ms.	0.8 ms
17:22:17.912	127.0.0.1:51826	admin	REQUEST	OPEN app-cm	0.4 ms
17:22:17.912	127.0.0.1:51826	admin	OK	Database 'app-cm' was opened in 0.06 ms.	0.28 ms
17:22:17.915	127.0.0.1:51826	admin	REQUEST	XQUERY /cmd/app/@id	0.32 ms
17:22:17.920	127.0.0.1:51826	admin	OK	Query executed in 4.6 ms.	8.55 ms
17:35:59.867	127.0.0.1:52387	admin	REQUEST	OPEN app-cm	2.51 ms
17:35:59.874	127.0.0.1:52387	admin	OK	Database 'app-cm' was opened in 5.4 ms.	6.92 ms
17:35:59.876	127.0.0.1:52387	admin	REQUEST	XQUERY /cmd/app/@id	0.39 ms
17:35:59.881	127.0.0.1:52387	admin	OK	Query executed in 4.21 ms.	4.64 ms
18:03:40.861	127.0.0.1:52892	admin	REQUEST	OPEN app-cm	1.13 ms
18:03:40.866	127.0.0.1:52892	admin	OK	Database 'app-cm' was opened in 2.2 ms.	5.02 ms
18:03:40.870	127.0.0.1:52892	admin	REQUEST	XQUERY /cmd/app/@id	0.74 ms
18:03:40.871	127.0.0.1:52892	admin	OK	Query executed in 1.17 ms.	1.46 ms
18:03:43.476	127.0.0.1:52893	admin	REQUEST	OPEN app-cm	0.37 ms
18:03:43.476	127.0.0.1:52893	admin	OK	Database 'app-cm' was opened in 0.1 ms.	0.36 ms
18:03:43.480	127.0.0.1:52893	admin	REQUEST	XQUERY /cmd/app/@id	0.44 ms
18:03:43.482	127.0.0.1:52893	admin	OK	Query executed in 1.7 ms.	1.97 ms
20:53:51.120	127.0.0.1:53575	admin	REQUEST	OPEN app-cm	2.12 ms
20:53:51.127	127.0.0.1:53575	admin	OK	Database 'app-cm' was opened in 3.31 ms.	6.6 ms
20:53:51.144	127.0.0.1:53575	admin	REQUEST	XQUERY /cmd/app/@id	0.47 ms
20:53:51.149	127.0.0.1:53575	admin	OK	Query executed in 4.99 ms.	5.49 ms
20:56:39.145	127.0.0.1:53588	admin	REQUEST	OPEN app-cm	1.89 ms
20:56:39.146	127.0.0.1:53588	admin	OK	Database 'app-cm' was opened in 0.27 ms.	1.38 ms
20:56:39.153	127.0.0.1:53588	admin	REQUEST	INFO	3.68 ms
20:56:39.158	127.0.0.1:53588	admin	OK		5.38 ms
20:57:16.513	127.0.0.1:53597	admin	REQUEST	OPEN app-cm	0.48 ms
20:57:16.514	127.0.0.1:53597	admin	OK	Database 'app-cm' was opened in 0.07 ms.	1.12 ms
20:57:16.516	127.0.0.1:53597	admin	REQUEST	INFO	0.43 ms
20:57:16.519	127.0.0.1:53597	admin	OK		2.19 ms
20:57:35.855	127.0.0.1:53646	admin	REQUEST	OPEN app-cm	0.51 ms
20:57:35.856	127.0.0.1:53646	admin	OK	Database 'app-cm' was opened in 0.06 ms.	0.7 ms
20:57:35.857	127.0.0.1:53646	admin	REQUEST	INFO	0.22 ms
20:57:35.857	127.0.0.1:53646	admin	OK		0.83 ms
20:57:37.349	127.0.0.1:53647	admin	REQUEST	OPEN app-cm	0.39 ms
20:57:37.349	127.0.0.1:53647	admin	OK	Database 'app-cm' was opened in 0.07 ms.	0.27 ms
20:57:37.350	127.0.0.1:53647	admin	REQUEST	INFO	0.26 ms
20:57:37.351	127.0.0.1:53647	admin	OK		0.77 ms
20:57:57.834	127.0.0.1:53648	admin	REQUEST	OPEN app-cm	0.33 ms
20:57:57.835	127.0.0.1:53648	admin	OK	Database 'app-cm' was opened in 0.08 ms.	0.3 ms
20:57:57.857	127.0.0.1:53648	admin	REQUEST	INFOBD	19.76 ms
20:57:57.857	127.0.0.1:53648	admin	ERROR	Stopped at , 1/7: Unknown command: INFOBD. Try 'help'.	0.14 ms
20:59:24.128	127.0.0.1:53662	admin	REQUEST	OPEN app-cm	0.38 ms
20:59:24.129	127.0.0.1:53662	admin	OK	Database 'app-cm' was opened in 0.06 ms.	0.54 ms
20:59:24.133	127.0.0.1:53662	admin	REQUEST	LIST	0.93 ms
20:59:24.150	127.0.0.1:53662	admin	OK		17.4 ms
21:01:11.594	127.0.0.1:53666	admin	REQUEST	OPEN app-cm	0.41 ms
21:01:11.595	127.0.0.1:53666	admin	OK	Database 'app-cm' was opened in 0.07 ms.	1.27 ms
21:01:11.596	127.0.0.1:53666	admin	REQUEST	LIST	0.27 ms
21:01:11.602	127.0.0.1:53666	admin	OK		5.27 ms
21:02:36.789	127.0.0.1:53669	admin	REQUEST	OPEN app-cm	0.48 ms
21:02:36.789	127.0.0.1:53669	admin	OK	Database 'app-cm' was opened in 0.07 ms.	0.31 ms
21:02:36.790	127.0.0.1:53669	admin	REQUEST	INFO	0.23 ms
21:02:36.790	127.0.0.1:53669	admin	OK		0.6 ms
21:07:48.158	127.0.0.1:53730	admin	REQUEST	OPEN app-cm	0.54 ms
21:07:48.158	127.0.0.1:53730	admin	OK	Database 'app-cm' was opened in 0.06 ms.	0.57 ms
21:07:48.162	127.0.0.1:53730	admin	REQUEST	INFO	0.31 ms
21:07:48.162	127.0.0.1:53730	admin	OK		0.8 ms
21:15:09.151	127.0.0.1:54007	admin	REQUEST	OPEN app-cm	3.53 ms
21:15:09.155	127.0.0.1:54007	admin	OK	Database 'app-cm' was opened in 1.15 ms.	3.59 ms
21:15:09.166	127.0.0.1:54007	admin	REQUEST	INFO	0.43 ms
21:15:09.168	127.0.0.1:54007	admin	OK		1.56 ms
21:17:47.299	127.0.0.1:54027	admin	REQUEST	OPEN app-cm	0.35 ms
21:17:47.299	127.0.0.1:54027	admin	OK	Database 'app-cm' was opened in 0.07 ms.	0.64 ms
21:17:47.300	127.0.0.1:54027	admin	REQUEST	INFO	0.2 ms
21:17:47.300	127.0.0.1:54027	admin	OK		0.65 ms
21:18:06.886	127.0.0.1:54028	admin	REQUEST	OPEN app-cm	1.85 ms
21:18:06.886	127.0.0.1:54028	admin	OK	Database 'app-cm' was opened in 0.06 ms.	0.32 ms
21:18:06.889	127.0.0.1:54028	admin	REQUEST	XQUERY /cmd/app/@id	0.36 ms
21:18:06.896	127.0.0.1:54028	admin	OK	Query executed in 7.05 ms.	7.6 ms
21:41:32.301	127.0.0.1:54091	admin	REQUEST	OPEN app-cm	3.14 ms
21:41:32.316	127.0.0.1:54091	admin	OK	Database 'app-cm' was opened in 3.08 ms.	14.68 ms
21:41:32.319	127.0.0.1:54091	admin	REQUEST	XQUERY /cmd/app/@id	0.39 ms
21:41:32.321	127.0.0.1:54091	admin	OK	Query executed in 0.83 ms.	1.1 ms
21:41:33.850	127.0.0.1:54092	admin	REQUEST	OPEN app-cm	0.53 ms
