13:57:52.624	SERVER	admin	OK	Server was stopped (port: 1984).
13:58:10.620	SERVER	admin	OK	Server was started (port: 1984).
13:58:13.872	127.0.0.1:57560	admin	REQUEST	INFO	28.86 ms
13:58:13.878	127.0.0.1:57560	admin	OK		5.52 ms
13:58:14.242	127.0.0.1:57562	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tablename as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname, $tablename) return json:serialize( element json { attribute type {'array'}, for $r in $database//*, where ($r/name = $modulename and $r/type = 'javascript') return $r })	2.14 ms
13:58:14.325	127.0.0.1:57562	admin	OK	BIND[0] $dbname=main_app	80.96 ms
13:58:14.326	127.0.0.1:57562	admin	OK	BIND[0] $tablename=bin/modules.xml	0.17 ms
13:58:14.326	127.0.0.1:57562	admin	OK	BIND[0] $modulename=BRjx	0.12 ms
13:58:14.610	127.0.0.1:57562	admin	REQUEST	EXEC[0]	283.94 ms
13:58:14.610	127.0.0.1:57562	admin	ERROR	Stopped at ., 1/283: [XPST0003] Expecting '$', found 'w'.	0.12 ms
13:58:14.624	127.0.0.1:57563	admin	OK	QUERY[0] declare variable $dbname as xs:string external;json:serialize(element json {attribute type {'array'}, element _ {db:open($dbname)//*/app/init/text()}})	0.2 ms
13:58:14.625	127.0.0.1:57563	admin	OK	BIND[0] $dbname=main_app	0.18 ms
13:58:14.746	127.0.0.1:57563	admin	OK	EXEC[0]	121.14 ms
13:58:14.747	127.0.0.1:57563	admin	OK	QUERY[1] declare variable $dbname as xs:string external; json:serialize(element json {attribute type {'array'}, db:open($dbname)/run/records/_[./rc/text()='boot']/command/*})	0.16 ms
13:58:14.747	127.0.0.1:57563	admin	OK	BIND[1] $dbname=main_app	0.16 ms
13:58:14.786	127.0.0.1:57563	admin	OK	EXEC[1]	38.6 ms
13:58:14.787	127.0.0.1:57563	admin	OK	QUERY[2] declare variable $dbname as xs:string external; json:serialize(element json {attribute type {'object'}, db:open($dbname)/BRjx/*})	0.17 ms
13:58:14.787	127.0.0.1:57563	admin	OK	BIND[2] $dbname=main_app	0.15 ms
13:58:14.803	127.0.0.1:57563	admin	OK	EXEC[2]	16.21 ms
13:58:14.804	127.0.0.1:57563	admin	OK	QUERY[3] declare variable $dbname as xs:string external; json:serialize(element json {attribute type {'object'}, db:open($dbname)/global/app/*})	0.12 ms
13:58:14.804	127.0.0.1:57563	admin	OK	BIND[3] $dbname=main_app	0.15 ms
13:58:14.821	127.0.0.1:57563	admin	OK	EXEC[3]	16.09 ms
13:58:14.821	127.0.0.1:57563	admin	OK	QUERY[4] declare variable $dbname as xs:string external; json:serialize(element json { attribute type {'object'}, element commands { attribute type {'object'}, for $n in db:open($dbname)/commands/records/_ return element {$n/name/text()} { attribute type {'object'}, $n/properties, $n/script } } })	0.17 ms
13:58:14.822	127.0.0.1:57563	admin	OK	BIND[4] $dbname=main_app	0.17 ms
13:58:14.848	127.0.0.1:57563	admin	OK	EXEC[4]	26.75 ms
14:18:06.593	SERVER	admin	OK	Server was stopped (port: 1984).
14:18:16.256	SERVER	admin	OK	Server was started (port: 1984).
