00:10:04.425	SERVER	admin	OK	Server was stopped (port: 1984).
00:23:01.212	SERVER	admin	OK	Server was started (port: 1984).
00:24:12.697	SERVER	admin	OK	Server was stopped (port: 1984).
00:24:20.906	SERVER	admin	OK	Server was started (port: 1984).
00:24:23.764	127.0.0.1:56385	admin	REQUEST	XQUERY json:serialize( element json { attribute type {'array'}, for $db in db:list() for $doc in collection($db) return element _ { attribute type {'object'}, element id {data($doc/*/id)}, element name {$doc/*/name()}, element database {$db}, element document {document-uri($doc)} } })	31.63 ms
00:24:24.502	127.0.0.1:56385	admin	OK	Query executed in 732.16 ms.	736.82 ms
00:24:24.541	127.0.0.1:56386	admin	REQUEST	XQUERY json:serialize(db:open("WEBActions")/*)	0.45 ms
00:24:24.546	127.0.0.1:56386	admin	OK	Query executed in 3.9 ms.	4.42 ms
00:24:24.579	127.0.0.1:56387	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tablename as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname, $tablename) return json:serialize( element json { attribute type {'array'}, for $r in $database//* where ($r/name = $modulename and $r/type = 'javascript') return $r })	1.46 ms
00:24:24.589	127.0.0.1:56387	admin	OK	BIND[0] $dbname=main_app	6.78 ms
00:24:24.589	127.0.0.1:56387	admin	OK	BIND[0] $tablename=bin/modules.xml	0.12 ms
00:24:24.590	127.0.0.1:56387	admin	OK	BIND[0] $modulename=TEST	0.13 ms
00:24:24.629	127.0.0.1:56387	admin	OK	EXEC[0]	39.38 ms
00:24:24.641	127.0.0.1:56388	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tablename as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname, $tablename) return json:serialize( element json { attribute type {'array'}, for $r in $database//* where ($r/name = $modulename and $r/type = 'javascript') return $r })	0.19 ms
00:24:24.641	127.0.0.1:56388	admin	OK	BIND[0] $dbname=main_app	0.15 ms
00:24:24.642	127.0.0.1:56388	admin	OK	BIND[0] $tablename=bin/modules.xml	0.12 ms
00:24:24.642	127.0.0.1:56388	admin	OK	BIND[0] $modulename=BRjx	0.1 ms
00:24:24.650	127.0.0.1:56388	admin	OK	EXEC[0]	7.78 ms
00:24:24.676	127.0.0.1:56389	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tablename as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname, $tablename) return json:serialize( element json { attribute type {'array'}, for $r in $database//* where ($r/name = $modulename and $r/type = 'javascript') return $r })	0.23 ms
00:24:24.677	127.0.0.1:56389	admin	OK	BIND[0] $dbname=main_app	0.16 ms
00:24:24.677	127.0.0.1:56389	admin	OK	BIND[0] $tablename=bin/modules.xml	0.1 ms
00:24:24.677	127.0.0.1:56389	admin	OK	BIND[0] $modulename=BRjxRecord	0.1 ms
00:24:24.687	127.0.0.1:56389	admin	OK	EXEC[0]	9.5 ms
00:24:24.712	127.0.0.1:56390	admin	OK	QUERY[0] declare variable $dbname as xs:string external;json:serialize(element json {attribute type {'array'}, element _ {db:open($dbname)//*/app/init/text()}})	0.18 ms
00:24:24.712	127.0.0.1:56390	admin	OK	BIND[0] $dbname=main_app	0.15 ms
00:24:24.719	127.0.0.1:56390	admin	OK	EXEC[0]	7.07 ms
00:24:24.720	127.0.0.1:56390	admin	OK	QUERY[1] declare variable $dbname as xs:string external; json:serialize(element json {attribute type {'array'}, db:open($dbname)/run/records/_[./rc/text()='boot']/command/*})	0.14 ms
00:24:24.720	127.0.0.1:56390	admin	OK	BIND[1] $dbname=main_app	0.14 ms
00:24:24.730	127.0.0.1:56390	admin	OK	EXEC[1]	9.42 ms
00:24:24.745	127.0.0.1:56390	admin	OK	QUERY[2] declare variable $dbname as xs:string external; json:serialize(element json {attribute type {'object'}, db:open($dbname)/BRjx/*})	0.16 ms
00:24:24.746	127.0.0.1:56390	admin	OK	BIND[2] $dbname=main_app	0.16 ms
00:24:24.749	127.0.0.1:56390	admin	OK	EXEC[2]	3.87 ms
00:24:24.750	127.0.0.1:56390	admin	OK	QUERY[3] declare variable $dbname as xs:string external; json:serialize(element json {attribute type {'object'}, db:open($dbname)/main/app/*})	0.13 ms
00:24:24.751	127.0.0.1:56390	admin	OK	BIND[3] $dbname=main_app	0.15 ms
00:24:24.755	127.0.0.1:56390	admin	OK	EXEC[3]	3.59 ms
