12:28:48.160	SERVER	admin	OK	Server was stopped (port: 1984).
12:28:56.415	SERVER	admin	OK	Server was started (port: 1984).
12:35:30.215	SERVER	admin	OK	Server was stopped (port: 1984).
12:35:38.838	SERVER	admin	OK	Server was started (port: 1984).
12:38:57.987	SERVER	admin	OK	Server was stopped (port: 1984).
12:39:06.506	SERVER	admin	OK	Server was started (port: 1984).
12:41:34.387	127.0.0.1:52279	admin	REQUEST	XQUERY json:serialize( element json { attribute type {'array'}, for $db in db:list() for $doc in collection($db) return element _ { attribute type {'object'}, element id {data($doc/*/id)}, element app {tokenize($db, '_')[1]}, element name {$doc/*/name()}, element database {$db}, element document {document-uri($doc)} } })	236.73 ms
12:41:35.066	127.0.0.1:52279	admin	OK	Query executed in 669.48 ms.	671.35 ms
12:41:35.071	127.0.0.1:52280	admin	REQUEST	XQUERY json:serialize(db:open('app_cfg')/module/*)	0.49 ms
12:41:35.080	127.0.0.1:52280	admin	OK	Query executed in 7.82 ms.	8.44 ms
12:41:35.081	127.0.0.1:52280	admin	REQUEST	XQUERY json:serialize(db:open('app_cfg')/replacementRules/*)	0.38 ms
12:41:35.115	127.0.0.1:52280	admin	OK	Query executed in 33.6 ms.	33.95 ms
12:41:35.122	127.0.0.1:52281	admin	REQUEST	XQUERY json:serialize(db:open('app_cfg')/actions/*)	0.35 ms
12:41:35.125	127.0.0.1:52281	admin	OK	Query executed in 2.25 ms.	2.67 ms
12:41:35.165	127.0.0.1:52282	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tableid as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname) return json:serialize( element json { attribute type {'array'}, for $r in $database/*[./id = $tableid]/records/_ where ($r/name = $modulename and $r/type = 'javascript') return $r })	1.49 ms
12:41:35.174	127.0.0.1:52282	admin	OK	BIND[0] $dbname=main_app	7.43 ms
12:41:35.174	127.0.0.1:52282	admin	OK	BIND[0] $tableid=0d6ef920-7ded-4832-b6ae-e12b9c64c73e	0.15 ms
12:41:35.174	127.0.0.1:52282	admin	OK	BIND[0] $modulename=TEST	0.11 ms
12:41:35.204	127.0.0.1:52282	admin	OK	EXEC[0]	29.55 ms
12:41:35.223	127.0.0.1:52283	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tableid as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname) return json:serialize( element json { attribute type {'array'}, for $r in $database/*[./id = $tableid]/records/_ where ($r/name = $modulename and $r/type = 'javascript') return $r })	0.21 ms
12:41:35.224	127.0.0.1:52283	admin	OK	BIND[0] $dbname=main_app	0.17 ms
12:41:35.224	127.0.0.1:52283	admin	OK	BIND[0] $tableid=0d6ef920-7ded-4832-b6ae-e12b9c64c73e	0.15 ms
12:41:35.224	127.0.0.1:52283	admin	OK	BIND[0] $modulename=BRjx	0.1 ms
12:41:35.232	127.0.0.1:52283	admin	OK	EXEC[0]	7.57 ms
12:41:35.255	127.0.0.1:52284	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tableid as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname) return json:serialize( element json { attribute type {'array'}, for $r in $database/*[./id = $tableid]/records/_ where ($r/name = $modulename and $r/type = 'javascript') return $r })	0.19 ms
12:41:35.256	127.0.0.1:52284	admin	OK	BIND[0] $dbname=main_app	0.17 ms
12:41:35.256	127.0.0.1:52284	admin	OK	BIND[0] $tableid=0d6ef920-7ded-4832-b6ae-e12b9c64c73e	0.11 ms
12:41:35.256	127.0.0.1:52284	admin	OK	BIND[0] $modulename=BRjxRecord	0.1 ms
12:41:35.266	127.0.0.1:52284	admin	OK	EXEC[0]	9.74 ms
12:42:25.277	SERVER	admin	OK	Server was stopped (port: 1984).
12:42:37.785	SERVER	admin	OK	Server was started (port: 1984).
12:42:41.257	127.0.0.1:52287	admin	REQUEST	XQUERY json:serialize( element json { attribute type {'array'}, for $db in db:list() for $doc in collection($db) return element _ { attribute type {'object'}, element id {data($doc/*/id)}, element app {tokenize($db, '_')[1]}, element name {$doc/*/name()}, element database {$db}, element document {document-uri($doc)} } })	173.68 ms
12:42:41.831	127.0.0.1:52287	admin	OK	Query executed in 571.57 ms.	573.34 ms
12:42:41.842	127.0.0.1:52288	admin	REQUEST	XQUERY json:serialize(db:open('app_cfg')/module/*)	0.42 ms
12:42:41.847	127.0.0.1:52288	admin	OK	Query executed in 4.18 ms.	4.74 ms
12:42:41.852	127.0.0.1:52288	admin	REQUEST	XQUERY json:serialize(db:open('app_cfg')/replacementRules/*)	0.36 ms
12:42:41.857	127.0.0.1:52288	admin	OK	Query executed in 4.56 ms.	4.85 ms
12:42:41.872	127.0.0.1:52289	admin	REQUEST	XQUERY json:serialize(db:open('app_cfg')/actions/*)	0.59 ms
12:42:41.874	127.0.0.1:52289	admin	OK	Query executed in 2.32 ms.	2.76 ms
12:42:41.913	127.0.0.1:52290	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tableid as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname) return json:serialize( element json { attribute type {'array'}, for $r in $database/*[./id = $tableid]/records/_ where ($r/name = $modulename and $r/type = 'javascript') return $r })	1.5 ms
12:42:41.920	127.0.0.1:52290	admin	OK	BIND[0] $dbname=main_app	5.78 ms
12:42:41.921	127.0.0.1:52290	admin	OK	BIND[0] $tableid=0d6ef920-7ded-4832-b6ae-e12b9c64c73e	0.15 ms
12:42:41.921	127.0.0.1:52290	admin	OK	BIND[0] $modulename=TEST	0.11 ms
12:42:41.946	127.0.0.1:52290	admin	OK	EXEC[0]	24.8 ms
12:42:41.971	127.0.0.1:52291	admin	OK	QUERY[0] declare variable $dbname as xs:string external;declare variable $tableid as xs:string external;declare variable $modulename as xs:string external;let $database := db:open($dbname) return json:serialize( element json { attribute type {'array'}, for $r in $database/*[./id = $tableid]/records/_ where ($r/name = $modulename and $r/type = 'javascript') return $r })	0.21 ms
12:42:41.971	127.0.0.1:52291	admin	OK	BIND[0] $dbname=main_app	0.19 ms
12:42:41.972	127.0.0.1:52291	admin	OK	BIND[0] $tableid=0d6ef920-7ded-4832-b6ae-e12b9c64c73e	0.12 ms
12:42:41.972	127.0.0.1:52291	admin	OK	BIND[0] $modulename=BRjx	0.09 ms
12:42:41.980	127.0.0.1:52291	admin	OK	EXEC[0]	7.52 ms
