16:33:37.205	SERVER	admin	OK	Server was started (port: 1984).
16:34:03.000	0:0:0:0:0:0:0:1:57202	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:34:03.058	0:0:0:0:0:0:0:1:57202	admin	200		60.02 ms
16:34:03.106	0:0:0:0:0:0:0:1:57203	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:34:03.107	0:0:0:0:0:0:0:1:57203	admin	200		2.02 ms
16:34:08.122	0:0:0:0:0:0:0:1:57203	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:34:08.165	0:0:0:0:0:0:0:1:57203	admin	200		46.02 ms
16:34:22.873	0:0:0:0:0:0:0:1:57203	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:34:22.877	0:0:0:0:0:0:0:1:57203	admin	200		3.67 ms
16:34:55.577	0:0:0:0:0:0:0:1:57209	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:34:55.589	0:0:0:0:0:0:0:1:57209	admin	200		12.11 ms
16:35:19.216	0:0:0:0:0:0:0:1:57212	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:35:19.229	0:0:0:0:0:0:0:1:57212	admin	200		14.03 ms
16:35:19.248	0:0:0:0:0:0:0:1:57209	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:35:19.252	0:0:0:0:0:0:0:1:57209	admin	200		4.35 ms
16:39:22.562	0:0:0:0:0:0:0:1:57234	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:39:22.583	0:0:0:0:0:0:0:1:57234	admin	200		22.26 ms
16:39:38.507	0:0:0:0:0:0:0:1:57235	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:39:38.508	0:0:0:0:0:0:0:1:57235	admin	200		1.56 ms
16:39:39.110	0:0:0:0:0:0:0:1:57234	admin	REQUEST	[GET] http://localhost:8080/webdav/
16:39:39.112	0:0:0:0:0:0:0:1:57234	admin	200		2.17 ms
16:41:19.965	0:0:0:0:0:0:0:1:57238	admin	ERROR	Access denied.	89855.37 ms
16:42:40.695	0:0:0:0:0:0:0:1:57241	admin	ERROR	Access denied.	80725.17 ms
16:43:26.270	0:0:0:0:0:0:0:1:57248	admin	REQUEST	[OPTIONS] http://localhost:8080/webdav
16:43:26.278	0:0:0:0:0:0:0:1:57248	admin	200		8.51 ms
16:43:35.431	0:0:0:0:0:0:0:1:57249	admin	REQUEST	[OPTIONS] http://localhost:8080/webdav
16:43:35.433	0:0:0:0:0:0:0:1:57249	admin	200		1.25 ms
16:43:35.891	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[OPTIONS] http://localhost:8080/webdav/
16:43:35.893	0:0:0:0:0:0:0:1:57250	admin	200		1.62 ms
16:43:35.896	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:35.898	0:0:0:0:0:0:0:1:57250	admin	200		1.91 ms
16:43:35.899	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:35.953	0:0:0:0:0:0:0:1:57250	admin	200		53.52 ms
16:43:35.982	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:35.988	0:0:0:0:0:0:0:1:57250	admin	200		6.14 ms
16:43:36.206	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:36.214	0:0:0:0:0:0:0:1:57250	admin	200		7.6 ms
16:43:36.282	0:0:0:0:0:0:0:1:57251	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:36.286	0:0:0:0:0:0:0:1:57251	admin	200		3.97 ms
16:43:36.300	0:0:0:0:0:0:0:1:57252	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:36.316	0:0:0:0:0:0:0:1:57252	admin	200		17.01 ms
16:43:36.340	0:0:0:0:0:0:0:1:57253	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:36.345	0:0:0:0:0:0:0:1:57253	admin	200		5.27 ms
16:43:36.353	0:0:0:0:0:0:0:1:57254	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:36.359	0:0:0:0:0:0:0:1:57254	admin	200		5.74 ms
16:43:36.428	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:37.285	0:0:0:0:0:0:0:1:57250	admin	200		861.07 ms
16:43:37.301	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:37.312	0:0:0:0:0:0:0:1:57250	admin	200		11.54 ms
16:43:37.333	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:37.337	0:0:0:0:0:0:0:1:57250	admin	200		4.75 ms
16:43:37.350	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
