07:45:35.220	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
07:45:55.815	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
07:46:10.188	127.0.0.1:56939	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	6.45 ms
07:46:10.961	127.0.0.1:56939	admin	REQUEST	EXEC[0]	764.48 ms
07:46:10.961	127.0.0.1:56939	admin	ERROR	Gestoppt in ., 1/63: [XQST0059] Module not found: http://brjx.stocker-schmid.ch.	0.2 ms
07:49:36.216	127.0.0.1:56943	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; db:info()	0.2 ms
07:49:36.219	127.0.0.1:56943	admin	REQUEST	EXEC[0]	1.86 ms
07:49:36.219	127.0.0.1:56943	admin	ERROR	Gestoppt in ., 1/63: [XQST0059] Module not found: http://brjx.stocker-schmid.ch.	0.15 ms
07:49:54.995	SERVER	admin	ERROR	Der Server läuft, oder der Zugriff wurde untersagt.
09:35:13.060	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
09:35:30.714	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
09:35:31.670	127.0.0.1:57056	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	6.6 ms
09:35:32.615	127.0.0.1:57056	admin	OK	EXEC[0]	936.7 ms
09:36:04.908	127.0.0.1:57059	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.js")	0.2 ms
09:36:04.959	127.0.0.1:57059	admin	OK	EXEC[0]	41.78 ms
09:36:05.069	127.0.0.1:57060	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.json")	0.22 ms
09:36:05.104	127.0.0.1:57060	admin	OK	EXEC[0]	30.36 ms
09:36:05.222	127.0.0.1:57061	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.class")	0.22 ms
09:36:05.264	127.0.0.1:57061	admin	OK	EXEC[0]	30.1 ms
09:36:05.363	127.0.0.1:57062	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/package.json")	0.15 ms
09:36:05.394	127.0.0.1:57062	admin	OK	EXEC[0]	26.58 ms
09:36:05.473	127.0.0.1:57063	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.js")	0.15 ms
09:36:05.505	127.0.0.1:57063	admin	OK	EXEC[0]	26.61 ms
09:36:05.576	127.0.0.1:57064	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.json")	0.15 ms
09:36:05.618	127.0.0.1:57064	admin	OK	EXEC[0]	37.61 ms
09:36:05.680	127.0.0.1:57065	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.class")	0.15 ms
09:36:05.709	127.0.0.1:57065	admin	OK	EXEC[0]	25.48 ms
20:29:02.045	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
20:29:35.374	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
20:29:36.310	127.0.0.1:59065	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	6.81 ms
20:29:37.319	127.0.0.1:59065	admin	OK	EXEC[0]	978.78 ms
20:29:40.388	127.0.0.1:59066	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.js")	0.26 ms
20:29:40.466	127.0.0.1:59066	admin	OK	EXEC[0]	69.81 ms
20:29:40.570	127.0.0.1:59067	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.json")	0.15 ms
20:29:40.606	127.0.0.1:59067	admin	OK	EXEC[0]	31.15 ms
20:29:40.695	127.0.0.1:59068	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.class")	0.16 ms
20:29:40.728	127.0.0.1:59068	admin	OK	EXEC[0]	27.65 ms
20:29:40.854	127.0.0.1:59069	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/package.json")	0.15 ms
20:29:40.888	127.0.0.1:59069	admin	OK	EXEC[0]	29.18 ms
20:29:40.971	127.0.0.1:59070	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.js")	0.17 ms
20:29:41.038	127.0.0.1:59070	admin	OK	EXEC[0]	26.36 ms
20:29:41.107	127.0.0.1:59071	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.json")	0.25 ms
20:29:41.138	127.0.0.1:59071	admin	OK	EXEC[0]	26.2 ms
20:29:41.213	127.0.0.1:59072	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.class")	0.15 ms
20:29:41.244	127.0.0.1:59072	admin	OK	EXEC[0]	26.75 ms
20:57:11.189	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
21:00:45.286	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
21:00:46.304	127.0.0.1:59196	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	6.44 ms
21:00:47.329	127.0.0.1:59196	admin	OK	EXEC[0]	1017.62 ms
21:01:58.725	127.0.0.1:59202	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.js")	0.22 ms
21:01:58.793	127.0.0.1:59202	admin	OK	EXEC[0]	57.63 ms
21:01:58.918	127.0.0.1:59203	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.json")	0.21 ms
21:01:58.960	127.0.0.1:59203	admin	OK	EXEC[0]	37.09 ms
21:01:59.082	127.0.0.1:59204	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.class")	0.19 ms
21:01:59.119	127.0.0.1:59204	admin	OK	EXEC[0]	29.57 ms
21:01:59.184	127.0.0.1:59205	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/package.json")	0.16 ms
21:01:59.216	127.0.0.1:59205	admin	OK	EXEC[0]	27.14 ms
21:01:59.318	127.0.0.1:59206	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.js")	0.27 ms
21:01:59.367	127.0.0.1:59206	admin	OK	EXEC[0]	34.04 ms
21:01:59.441	127.0.0.1:59207	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.json")	0.18 ms
21:01:59.470	127.0.0.1:59207	admin	OK	EXEC[0]	24.74 ms
21:01:59.540	127.0.0.1:59208	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.class")	0.16 ms
21:01:59.571	127.0.0.1:59208	admin	OK	EXEC[0]	26.2 ms
21:04:37.850	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
21:05:02.024	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
21:05:03.023	127.0.0.1:59224	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	7.35 ms
21:05:03.989	127.0.0.1:59224	admin	OK	EXEC[0]	950.45 ms
21:06:07.869	127.0.0.1:59231	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.js")	0.23 ms
21:06:07.921	127.0.0.1:59231	admin	OK	EXEC[0]	46.51 ms
21:06:08.046	127.0.0.1:59232	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.json")	0.15 ms
21:06:08.080	127.0.0.1:59232	admin	OK	EXEC[0]	28.89 ms
21:06:08.190	127.0.0.1:59233	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.class")	0.15 ms
21:06:08.227	127.0.0.1:59233	admin	OK	EXEC[0]	30.05 ms
21:06:08.369	127.0.0.1:59234	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/package.json")	0.14 ms
21:06:08.401	127.0.0.1:59234	admin	OK	EXEC[0]	28.36 ms
21:06:08.511	127.0.0.1:59235	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.js")	0.17 ms
21:06:08.542	127.0.0.1:59235	admin	OK	EXEC[0]	26.07 ms
21:06:08.624	127.0.0.1:59236	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.json")	0.15 ms
21:06:08.657	127.0.0.1:59236	admin	OK	EXEC[0]	27.38 ms
21:06:08.752	127.0.0.1:59237	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js/index.class")	0.16 ms
21:06:08.785	127.0.0.1:59237	admin	OK	EXEC[0]	29.36 ms
21:16:09.445	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
21:16:53.702	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
21:16:54.719	127.0.0.1:59291	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	6.73 ms
21:16:55.727	127.0.0.1:59291	admin	OK	EXEC[0]	997.34 ms
21:16:57.855	127.0.0.1:59293	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.js")	0.27 ms
21:16:57.903	127.0.0.1:59293	admin	OK	EXEC[0]	41.96 ms
21:16:58.021	127.0.0.1:59294	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.json")	0.23 ms
21:16:58.088	127.0.0.1:59294	admin	OK	EXEC[0]	62.04 ms
21:16:58.210	127.0.0.1:59295	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.class")	0.16 ms
21:16:58.248	127.0.0.1:59295	admin	OK	EXEC[0]	31.03 ms
21:16:58.320	127.0.0.1:59296	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/package.json")	0.15 ms
21:16:58.363	127.0.0.1:59296	admin	OK	EXEC[0]	33.11 ms
21:16:58.457	127.0.0.1:59297	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.js")	0.15 ms
