07:26:27.041	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
07:26:28.117	127.0.0.1:62399	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	6.46 ms
07:26:29.119	127.0.0.1:62399	admin	OK	EXEC[0]	986.47 ms
07:26:30.560	127.0.0.1:62441	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.js")	0.29 ms
07:26:30.618	127.0.0.1:62441	admin	OK	EXEC[0]	52.23 ms
07:26:30.732	127.0.0.1:62443	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.json")	0.15 ms
07:26:30.765	127.0.0.1:62443	admin	OK	EXEC[0]	28.65 ms
07:26:30.861	127.0.0.1:62444	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.class")	0.16 ms
07:26:30.908	127.0.0.1:62444	admin	OK	EXEC[0]	42.07 ms
07:26:30.999	127.0.0.1:62445	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/package.json")	0.44 ms
07:26:31.031	127.0.0.1:62445	admin	OK	EXEC[0]	27.39 ms
07:26:31.112	127.0.0.1:62446	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.js")	0.15 ms
07:26:31.147	127.0.0.1:62446	admin	OK	EXEC[0]	26.89 ms
07:26:31.217	127.0.0.1:62448	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.json")	0.15 ms
07:26:31.256	127.0.0.1:62448	admin	OK	EXEC[0]	29.31 ms
07:26:31.313	127.0.0.1:62449	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.class")	0.15 ms
07:26:31.343	127.0.0.1:62449	admin	OK	EXEC[0]	26.15 ms
07:26:31.437	127.0.0.1:62451	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.46 ms
07:26:31.463	127.0.0.1:62451	admin	OK	EXEC[0]	22.51 ms
07:26:31.548	127.0.0.1:62452	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.14 ms
07:26:31.575	127.0.0.1:62452	admin	OK	EXEC[0]	22.81 ms
07:26:31.651	127.0.0.1:62454	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.15 ms
07:26:31.676	127.0.0.1:62454	admin	OK	EXEC[0]	21.24 ms
07:26:31.776	127.0.0.1:62456	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getContent("/BRjx_main/bin/modules.xml/BRjx.js")	0.14 ms
07:26:31.843	127.0.0.1:62456	admin	OK	EXEC[0]	62.56 ms
07:26:31.905	127.0.0.1:62458	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; db:open("BRjx_main")//*[./name/text() = "BRjx" and ./type/text() = "js"]	0.2 ms
07:26:31.928	127.0.0.1:62458	admin	OK	EXEC[0]	22.33 ms
07:26:32.027	127.0.0.1:62459	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/bin/modules.xml/")	0.14 ms
07:26:32.092	127.0.0.1:62459	admin	OK	EXEC[0]	61.62 ms
07:26:32.236	127.0.0.1:62460	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getParentRepository("/BRjx_main/bin/modules.xml/")	0.13 ms
07:26:32.263	127.0.0.1:62460	admin	REQUEST	EXEC[0]	22.5 ms
07:26:32.264	127.0.0.1:62460	admin	ERROR	Gestoppt in ., 5/25: [XPST0017] Unknown function: Q{http://brjx.stocker-schmid.ch}getParentRepository.	0.18 ms
07:26:32.452	127.0.0.1:62464	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.js")	0.14 ms
07:26:32.479	127.0.0.1:62464	admin	OK	EXEC[0]	22.81 ms
07:26:32.594	127.0.0.1:62467	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.json")	0.14 ms
07:26:32.619	127.0.0.1:62467	admin	OK	EXEC[0]	20.93 ms
07:26:32.716	127.0.0.1:62468	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.class")	0.14 ms
07:26:32.742	127.0.0.1:62468	admin	OK	EXEC[0]	21.2 ms
07:26:32.917	127.0.0.1:62469	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/package.json")	0.26 ms
07:26:32.944	127.0.0.1:62469	admin	OK	EXEC[0]	22.14 ms
07:26:33.067	127.0.0.1:62470	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/package.json")	0.22 ms
07:26:33.106	127.0.0.1:62470	admin	OK	EXEC[0]	18.24 ms
07:26:33.179	127.0.0.1:62471	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.js")	0.13 ms
07:26:33.204	127.0.0.1:62471	admin	OK	EXEC[0]	20.88 ms
