11:04:34.553	SERVER	admin	OK	Server was started (port: 1984).
11:04:34.616	SERVER	admin	OK	Server was stopped (port: 1984).
11:11:44.828	SERVER	admin	OK	Server was started (port: 1984).
11:11:44.894	SERVER	admin	OK	Server was stopped (port: 1984).
11:17:47.895	SERVER	admin	OK	Server was started (port: 1984).
11:17:47.962	SERVER	admin	OK	Server was stopped (port: 1984).
11:21:37.793	SERVER	admin	OK	Server was started (port: 1984).
11:21:37.855	SERVER	admin	OK	Server was stopped (port: 1984).
11:25:16.663	SERVER	admin	OK	Server was started (port: 1984).
11:25:16.748	SERVER	admin	OK	Server was stopped (port: 1984).
11:30:37.561	SERVER	admin	OK	Server was started (port: 1984).
11:30:37.647	127.0.0.1:49736	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; declare variable $table as xs:string external; for $db in db:list() (:where expression - database - beginn:)(:where expression - database - end:) for $doc in collection($db) (:where expression - document - beginn:)(:where expression - document - end:) for $t in $doc/* (:where expression - table - beginn:)where $t/@id = $table(:where expression - table - end:) for $r in $t/* (:where expression - record - beginn:)(:where expression - record - end:) return $r (:string, number, boolean, null, object, array:)	2.01 ms
11:30:37.676	127.0.0.1:49736	ManageIT	OK	BIND[0] $table=175c9043-0cc4-4165-bdb1-eb66fc13457f	27.86 ms
11:30:38.086	127.0.0.1:49736	ManageIT	OK	EXEC[0]	409.73 ms
11:30:38.158	127.0.0.1:49738	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/lib/modules.xml/")	0.15 ms
11:30:38.213	127.0.0.1:49738	ManageIT	OK	EXEC[0]	54.8 ms
11:30:38.270	127.0.0.1:49739	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test.js")	0.09 ms
11:30:38.289	127.0.0.1:49739	ManageIT	OK	EXEC[0]	18.94 ms
11:30:38.313	127.0.0.1:49740	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test.json")	0.08 ms
11:30:38.331	127.0.0.1:49740	ManageIT	OK	EXEC[0]	18.48 ms
11:30:38.350	127.0.0.1:49741	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test.class")	0.09 ms
11:30:38.367	127.0.0.1:49741	ManageIT	OK	EXEC[0]	17.17 ms
11:30:38.393	127.0.0.1:49742	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/package.json")	0.11 ms
11:30:38.410	127.0.0.1:49742	ManageIT	OK	EXEC[0]	16.44 ms
11:30:38.434	127.0.0.1:49743	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/package.json")	0.1 ms
11:30:38.450	127.0.0.1:49743	ManageIT	OK	EXEC[0]	16.01 ms
11:30:38.470	127.0.0.1:49744	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_main/lib/modules.xml/BRjx-Test/package.json")	0.09 ms
11:30:38.497	127.0.0.1:49744	ManageIT	OK	EXEC[0]	27.14 ms
11:30:38.528	127.0.0.1:49745	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.11 ms
11:30:38.543	127.0.0.1:49745	ManageIT	OK	EXEC[0]	14.22 ms
11:30:38.563	127.0.0.1:49746	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.08 ms
11:30:38.578	127.0.0.1:49746	ManageIT	OK	EXEC[0]	13.96 ms
11:30:38.599	127.0.0.1:49748	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.09 ms
11:30:38.612	127.0.0.1:49748	ManageIT	OK	EXEC[0]	13.22 ms
11:30:38.632	127.0.0.1:49750	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.11 ms
11:30:38.646	127.0.0.1:49750	ManageIT	OK	EXEC[0]	13.34 ms
11:30:38.663	127.0.0.1:49751	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.09 ms
11:30:38.673	127.0.0.1:49751	ManageIT	OK	EXEC[0]	9.87 ms
11:30:38.694	127.0.0.1:49752	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/lib/modules.xml/BRjx-Test/")	0.09 ms
11:30:38.720	127.0.0.1:49752	ManageIT	OK	EXEC[0]	25.76 ms
11:30:38.758	127.0.0.1:49753	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/lib/modules.xml/BRjx-Test/")	0.11 ms
11:30:38.769	127.0.0.1:49753	ManageIT	OK	EXEC[0]	11.1 ms
11:30:38.773	SERVER	admin	OK	Server was stopped (port: 1984).
15:51:22.884	SERVER	admin	OK	Server was started (port: 1984).
15:51:22.969	127.0.0.1:53612	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; declare variable $table as xs:string external; for $db in db:list() (:where expression - database - beginn:)(:where expression - database - end:) for $doc in collection($db) (:where expression - document - beginn:)(:where expression - document - end:) for $t in $doc/* (:where expression - table - beginn:)where $t/@id = $table(:where expression - table - end:) for $r in $t/* (:where expression - record - beginn:)(:where expression - record - end:) return $r (:string, number, boolean, null, object, array:)	1.86 ms
15:51:22.997	127.0.0.1:53612	ManageIT	OK	BIND[0] $table=175c9043-0cc4-4165-bdb1-eb66fc13457f	27.45 ms
15:51:23.408	127.0.0.1:53612	ManageIT	OK	EXEC[0]	410.19 ms
15:51:23.479	127.0.0.1:53613	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/lib/modules.xml/")	0.13 ms
15:51:23.539	127.0.0.1:53613	ManageIT	OK	EXEC[0]	57.18 ms
15:51:23.595	127.0.0.1:53614	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test.js")	0.09 ms
15:51:23.616	127.0.0.1:53614	ManageIT	OK	EXEC[0]	20.44 ms
