07:00:24.581	SERVER	admin	OK	Server was started (port: 1984).
07:00:24.885	127.0.0.1:53903	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_application/etc/init/boot.xml/")	3.33 ms
07:00:26.864	127.0.0.1:53903	ManageIT	OK	EXEC[0]	1977.39 ms
07:00:27.045	127.0.0.1:53908	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/BRjx_loader.js]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = BRjx_loader.js"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.js")	0.18 ms
07:00:27.115	127.0.0.1:53908	ManageIT	OK	EXEC[0]	71.71 ms
07:00:27.197	127.0.0.1:53909	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/BRjx_loader.json]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = BRjx_loader.json"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.json")	0.18 ms
07:00:27.252	127.0.0.1:53909	ManageIT	OK	EXEC[0]	54.7 ms
07:00:27.323	127.0.0.1:53910	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/BRjx_loader.class]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = BRjx_loader.class"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.class")	0.37 ms
07:00:27.363	127.0.0.1:53910	ManageIT	OK	EXEC[0]	40.49 ms
07:00:27.448	127.0.0.1:53911	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json]: exists - rpath = /BRjx_application/etc/init/boot.xml/BRjx_loader/ - name = package.json"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json")	0.18 ms
07:00:27.485	127.0.0.1:53911	ManageIT	OK	EXEC[0]	37.38 ms
07:00:27.545	127.0.0.1:53912	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json")	0.17 ms
07:00:27.611	127.0.0.1:53912	ManageIT	OK	EXEC[0]	65.38 ms
07:00:27.713	127.0.0.1:53913	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js]: exists - rpath = /BRjx_application/etc/init/boot.xml/BRjx_loader/ - name = main.js"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.21 ms
07:00:27.749	127.0.0.1:53913	ManageIT	OK	EXEC[0]	35.49 ms
07:00:27.801	127.0.0.1:53914	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.16 ms
07:00:27.824	127.0.0.1:53914	ManageIT	OK	EXEC[0]	23.24 ms
07:00:27.909	127.0.0.1:53915	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_application/etc/init/boot.xml/BRjx_loader/")	0.15 ms
07:00:27.941	127.0.0.1:53915	ManageIT	OK	EXEC[0]	32.17 ms
07:00:28.061	127.0.0.1:53916	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/basex.js]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = basex.js"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.js")	0.18 ms
07:00:28.092	127.0.0.1:53916	ManageIT	OK	EXEC[0]	30.5 ms
07:00:28.193	127.0.0.1:53917	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/basex.json]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = basex.json"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.json")	0.17 ms
07:00:28.223	127.0.0.1:53917	ManageIT	OK	EXEC[0]	29.46 ms
07:00:28.287	127.0.0.1:53918	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/basex.class]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = basex.class"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.class")	0.17 ms
07:00:28.318	127.0.0.1:53918	ManageIT	OK	EXEC[0]	31.34 ms
07:00:28.379	127.0.0.1:53919	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/args.js]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = args.js"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/args.js")	0.18 ms
07:00:28.412	127.0.0.1:53919	ManageIT	OK	EXEC[0]	32.13 ms
07:00:28.473	127.0.0.1:53920	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/args.json]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = args.json"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/args.json")	0.17 ms
07:00:28.503	127.0.0.1:53920	ManageIT	OK	EXEC[0]	29.61 ms
07:00:28.572	127.0.0.1:53921	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_application/etc/init/boot.xml/args.class]: exists - rpath = /BRjx_application/etc/init/boot.xml/ - name = args.class"}:) brjx:isResource("/BRjx_application/etc/init/boot.xml/args.class")	0.18 ms
